"","TRACTCE","GEOID","human_name"
"1","003301","41051003301","Continued Loss"
"2","003302","41051003302","Continued Loss"
"3","003702","41051003702","Continued Loss"
"4","001201","41051001201","Continued Loss"
"5","009701","41051009701","Dynamic"
"6","000702","41051000702","Dynamic"
"7","004001","41051004001","Dynamic"
"8","003701","41051003701","Dynamic"
"9","007700","41051007700","Dynamic"
"10","007900","41051007900","Dynamic"
"11","002903","41051002903","Dynamic"
"12","004101","41051004101","Dynamic"
"13","004200","41051004200","Dynamic"
"14","008400","41051008400","Dynamic"
"15","009301","41051009301","Dynamic"
"16","003501","41051003501","Early: Type 1"
"17","007500","41051007500","Early: Type 1"
"18","007600","41051007600","Early: Type 1"
"19","008002","41051008002","Early: Type 1"
"20","008500","41051008500","Early: Type 1"
"21","005500","41051005500","Early: Type 1"
"22","009804","41051009804","Early: Type 1"
"23","002303","41051002303","Early: Type 1"
"24","005200","41051005200","Early: Type 1"
"25","008100","41051008100","Early: Type 1"
"26","008202","41051008202","Early: Type 1"
"27","008600","41051008600","Early: Type 1"
"28","000602","41051000602","Early: Type 1"
"29","001602","41051001602","Early: Type 1"
"30","001702","41051001702","Early: Type 1"
"31","008001","41051008001","Early: Type 1"
"32","008301","41051008301","Early: Type 1"
"33","008302","41051008302","Early: Type 1"
"34","009101","41051009101","Early: Type 1"
"35","009102","41051009102","Early: Type 1"
"36","009201","41051009201","Early: Type 1"
"37","004102","41051004102","Early: Type 1"
"38","009702","41051009702","Early: Type 1"
"39","000601","41051000601","Early: Type 1"
"40","001801","41051001801","Early: Type 1"
"41","007202","41051007202","Early: Type 1"
"42","008902","41051008902","Early: Type 1"
"43","007400","41051007400","Early: Type 1"
"44","000502","41051000502","Early: Type 1"
"45","009202","41051009202","Early: Type 1"
"46","009000","41051009000","Early: Type 1"
"47","007800","41051007800","Early: Type 2"
"48","002203","41051002203","Late: Type 1"
"49","000902","41051000902","Late: Type 1"
"50","003401","41051003401","Late: Type 1"
"51","003402","41051003402","Late: Type 1"
"52","001701","41051001701","Late: Type 2"
"53","003901","41051003901","Late: Type 2"
"54","003802","41051003802","Late: Type 2"
"55","000802","41051000802","Late: Type 2"
"56","003601","41051003601","Late: Type 2"
"57","008800","41051008800","Late: Type 2"
"58","000701","41051000701","Late: Type 2"
"59","004900","41051004900","Susceptible"
"60","002702","41051002702","Susceptible"
"61","001101","41051001101","Susceptible"
"62","009501","41051009501","Susceptible"
"63","003803","41051003803","Susceptible"
"64","007300","41051007300","Susceptible"
"65","009302","41051009302","Susceptible"
"66","009400","41051009400","Susceptible"
"67","010600","41051010600","Susceptible"
"68","005600","41051005600","Susceptible"
"69","009502","41051009502","Susceptible"
"70","008201","41051008201","Susceptible"
